log(T),H0+,H1+,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,3.974,1.121,0.107,0.844,4.249,8.163,15,15,,,,,,,,,,,,,,,,,,,,,
5,4.725,1.655,0.259,0.372,2.685,5.202,15,15,,,,,,,,,,,,,,,,,,,,,
5.1,5.58,2.302,0.571,0.156,1.565,2.948,15,15,,,,,,,,,,,,,,,,,,,,,
5.2,6.535,3.054,1.023,0.157,0.811,1.269,15,15,,,,,,,,,,,,,,,,,,,,,
5.3,7.836,4.156,1.854,0.595,0.612,0.312,12.862,15,,,,,,,,,,,,,,,,,,,,,
5.4,9.546,5.672,3.118,1.513,0.988,0.063,9.758,15,,,,,,,,,,,,,,,,,,,,,
5.5,11.219,7.154,4.366,2.452,1.462,0.017,7.312,15,,,,,,,,,,,,,,,,,,,,,
5.6,12.731,8.48,5.471,3.279,1.886,0.006,5.37,12.795,,,,,,,,,,,,,,,,,,,,,
5.7,14.087,9.655,6.436,3.99,2.244,0.003,3.809,9.381,,,,,,,,,,,,,,,,,,,,,
5.8,15,10.686,7.268,4.587,2.529,0.003,2.55,6.627,,,,,,,,,,,,,,,,,,,,,
5.9,15,11.569,7.96,5.062,2.725,0.013,1.553,4.418,,,,,,,,,,,,,,,,,,,,,
6,15,12.343,8.552,5.45,2.864,0.072,0.825,2.705,,,,,,,,,,,,,,,,,,,,,
6.1,15,13.118,9.15,5.858,3.047,0.243,0.404,1.476,,,,,,,,,,,,,,,,,,,,,
6.2,15,13.984,9.848,6.376,3.364,0.566,0.281,0.689,,,,,,,,,,,,,,,,,,,,,
6.3,15,14.988,10.69,7.049,3.855,1.052,0.419,0.275,,,,,,,,,,,,,,,,,,,,,
6.4,15,15,11.624,7.823,4.464,1.635,0.712,0.106,,,,,,,,,,,,,,,,,,,,,
6.5,15,15,12.558,8.605,5.095,2.22,1.04,0.044,,,,,,,,,,,,,,,,,,,,,
6.6,15,15,13.453,9.354,5.702,2.762,1.349,0.021,,,,,,,,,,,,,,,,,,,,,
6.7,15,15,14.303,10.064,6.277,3.257,1.627,0.011,,,,,,,,,,,,,,,,,,,,,
6.8,15,15,15,10.737,6.819,3.707,1.873,0.006,,,,,,,,,,,,,,,,,,,,,
6.9,15,15,15,11.379,7.334,4.121,2.092,0.004,,,,,,,,,,,,,,,,,,,,,
7,15,15,15,11.994,7.823,4.502,2.288,0.002,,,,,,,,,,,,,,,,,,,,,
7.1,15,15,15,12.586,8.29,4.856,2.467,0.001,,,,,,,,,,,,,,,,,,,,,
7.2,15,15,15,13.157,8.739,5.188,2.63,0.001,,,,,,,,,,,,,,,,,,,,,
7.3,15,15,15,13.711,9.17,5.501,2.782,0.001,,,,,,,,,,,,,,,,,,,,,
7.4,15,15,15,14.248,9.587,5.798,2.925,0.001,,,,,,,,,,,,,,,,,,,,,
7.5,15,15,15,14.773,9.991,6.082,3.061,0,,,,,,,,,,,,,,,,,,,,,
7.6,15,15,15,15,10.385,6.356,3.191,0,,,,,,,,,,,,,,,,,,,,,
7.7,15,15,15,15,10.771,6.622,3.318,0,,,,,,,,,,,,,,,,,,,,,
7.8,15,15,15,15,11.15,6.882,3.443,0,,,,,,,,,,,,,,,,,,,,,
7.9,15,15,15,15,11.524,7.137,3.568,0,,,,,,,,,,,,,,,,,,,,,
8,15,15,15,15,11.895,7.39,3.692,0,,,,,,,,,,,,,,,,,,,,,
8.1,15,15,15,15,12.264,7.641,3.818,0,,,,,,,,,,,,,,,,,,,,,
8.2,15,15,15,15,12.631,7.892,3.945,0,,,,,,,,,,,,,,,,,,,,,
8.3,15,15,15,15,12.998,8.143,4.076,0,,,,,,,,,,,,,,,,,,,,,
8.4,15,15,15,15,13.366,8.395,4.209,0,,,,,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,13.735,8.649,4.346,0,,,,,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,14.106,8.906,4.487,0,,,,,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,14.479,9.166,4.633,0,,,,,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,14.855,9.429,4.783,0,,,,,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,15,9.696,4.937,0,,,,,,,,,,,,,,,,,,,,,
9,15,15,15,15,15,9.966,5.096,0,,,,,,,,,,,,,,,,,,,,,
log(T),O0+,O1+,O2+,O3+,O4+,O5+,O6+,O7+,O8+,,,,,,,,,,,,,,,,,,,,
4,0,2.959,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.1,0.017,1.409,12.192,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.2,0.244,0.367,8.276,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.3,0.91,0.057,5.558,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.4,1.51,0.014,3.616,11.944,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.5,1.89,0.009,2.183,8.206,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.6,2.188,0.033,1.173,5.441,13.325,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.7,2.55,0.158,0.521,3.452,9.31,15,15,15,15,,,,,,,,,,,,,,,,,,,,
4.8,3.07,0.453,0.195,2.077,6.346,14.286,15,15,15,,,,,,,,,,,,,,,,,,,,
4.9,3.714,0.876,0.1,1.135,4.149,10.184,15,15,15,,,,,,,,,,,,,,,,,,,,
5,4.459,1.404,0.183,0.521,2.527,7.014,12.023,15,15,,,,,,,,,,,,,,,,,,,,
5.1,5.341,2.069,0.46,0.218,1.402,4.623,8.08,15,15,,,,,,,,,,,,,,,,,,,,
5.2,6.346,2.862,0.907,0.178,0.68,2.86,5.061,15,15,,,,,,,,,,,,,,,,,,,,
5.3,7.468,3.774,1.507,0.362,0.294,1.611,2.79,15,15,,,,,,,,,,,,,,,,,,,,
5.4,8.727,4.828,2.278,0.773,0.219,0.816,1.16,14.593,15,,,,,,,,,,,,,,,,,,,,
5.5,10.345,6.245,3.434,1.612,0.64,0.632,0.29,10.978,15,,,,,,,,,,,,,,,,,,,,
5.6,12.288,7.993,4.94,2.834,1.497,0.976,0.065,8.208,15,,,,,,,,,,,,,,,,,,,,
5.7,14.153,9.668,6.389,4.025,2.365,1.404,0.019,6.116,14.11,,,,,,,,,,,,,,,,,,,,
5.8,15,11.174,7.681,5.08,3.13,1.788,0.007,4.454,10.53,,,,,,,,,,,,,,,,,,,,
5.9,15,12.511,8.816,5.995,3.782,2.106,0.004,3.117,7.646,,,,,,,,,,,,,,,,,,,,
6,15,13.682,9.793,6.765,4.31,2.34,0.006,2.047,5.323,,,,,,,,,,,,,,,,,,,,
6.1,15,14.696,10.622,7.399,4.72,2.489,0.029,1.221,3.479,,,,,,,,,,,,,,,,,,,,
6.2,15,15,11.377,7.969,5.081,2.619,0.115,0.655,2.08,,,,,,,,,,,,,,,,,,,,
6.3,15,15,12.164,8.578,5.496,2.83,0.315,0.361,1.1,,,,,,,,,,,,,,,,,,,,
6.4,15,15,13.061,9.307,6.041,3.197,0.669,0.329,0.5,,,,,,,,,,,,,,,,,,,,
6.5,15,15,14.082,10.165,6.728,3.724,1.168,0.51,0.206,,,,,,,,,,,,,,,,,,,,
6.6,15,15,15,11.076,7.478,4.329,1.724,0.791,0.087,,,,,,,,,,,,,,,,,,,,
6.7,15,15,15,11.972,8.22,4.936,2.265,1.086,0.04,,,,,,,,,,,,,,,,,,,,
6.8,15,15,15,12.828,8.932,5.518,2.767,1.36,0.02,,,,,,,,,,,,,,,,,,,,
6.9,15,15,15,13.646,9.609,6.07,3.226,1.607,0.011,,,,,,,,,,,,,,,,,,,,
7,15,15,15,14.427,10.256,6.593,3.647,1.828,0.007,,,,,,,,,,,,,,,,,,,,
7.1,15,15,15,15,10.875,7.09,4.035,2.027,0.004,,,,,,,,,,,,,,,,,,,,
7.2,15,15,15,15,11.471,7.564,4.395,2.208,0.003,,,,,,,,,,,,,,,,,,,,
7.3,15,15,15,15,12.047,8.017,4.732,2.373,0.002,,,,,,,,,,,,,,,,,,,,
7.4,15,15,15,15,12.603,8.453,5.049,2.527,0.001,,,,,,,,,,,,,,,,,,,,
7.5,15,15,15,15,13.144,8.873,5.349,2.671,0.001,,,,,,,,,,,,,,,,,,,,
7.6,15,15,15,15,13.671,9.279,5.635,2.807,0.001,,,,,,,,,,,,,,,,,,,,
7.7,15,15,15,15,14.186,9.675,5.91,2.939,0.001,,,,,,,,,,,,,,,,,,,,
7.8,15,15,15,15,14.691,10.062,6.177,3.066,0,,,,,,,,,,,,,,,,,,,,
7.9,15,15,15,15,15,10.442,6.437,3.191,0,,,,,,,,,,,,,,,,,,,,
8,15,15,15,15,15,10.816,6.692,3.316,0,,,,,,,,,,,,,,,,,,,,
8.1,15,15,15,15,15,11.187,6.945,3.44,0,,,,,,,,,,,,,,,,,,,,
8.2,15,15,15,15,15,11.555,7.195,3.565,0,,,,,,,,,,,,,,,,,,,,
8.3,15,15,15,15,15,11.922,7.445,3.693,0,,,,,,,,,,,,,,,,,,,,
8.4,15,15,15,15,15,12.288,7.695,3.822,0,,,,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,15,12.655,7.947,3.955,0,,,,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,15,13.023,8.2,4.092,0,,,,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,15,13.392,8.455,4.232,0,,,,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,15,13.764,8.714,4.377,0,,,,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,15,14.139,8.975,4.526,0,,,,,,,,,,,,,,,,,,,,
9,15,15,15,15,15,14.517,9.241,4.68,0,,,,,,,,,,,,,,,,,,,,
log(T),F0+,F1+,F2+,F3+,F4+,F5+,F6+,F7+,F8+,F9+,,,,,,,,,,,,,,,,,,,
4,0,4.765,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.1,0.001,2.82,13.944,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.2,0.024,1.268,9.524,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.3,0.315,0.288,6.129,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.4,1.052,0.04,3.951,13.757,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.5,1.673,0.011,2.429,9.568,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.6,2.046,0.024,1.354,6.422,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.7,2.364,0.112,0.653,4.134,10.748,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.8,2.791,0.341,0.268,2.527,7.363,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
4.9,3.344,0.701,0.118,1.414,4.858,10.657,15,15,15,15,,,,,,,,,,,,,,,,,,,
5,4.009,1.169,0.146,0.665,3.001,7.297,14.277,15,15,15,,,,,,,,,,,,,,,,,,,
5.1,4.834,1.793,0.38,0.262,1.7,4.786,10.056,15,15,15,,,,,,,,,,,,,,,,,,,
5.2,5.816,2.569,0.806,0.155,0.855,2.953,6.831,10.942,15,15,,,,,,,,,,,,,,,,,,,
5.3,6.927,3.474,1.391,0.288,0.375,1.659,4.394,7.175,15,15,,,,,,,,,,,,,,,,,,,
5.4,8.17,4.512,2.135,0.642,0.215,0.818,2.613,4.313,15,15,,,,,,,,,,,,,,,,,,,
5.5,9.544,5.684,3.034,1.201,0.337,0.368,1.383,2.201,15,15,,,,,,,,,,,,,,,,,,,
5.6,11.126,7.067,4.163,2.028,0.789,0.332,0.697,0.791,12.007,15,,,,,,,,,,,,,,,,,,,
5.7,13.118,8.867,5.725,3.318,1.751,0.875,0.694,0.19,8.8,15,,,,,,,,,,,,,,,,,,,
5.8,15,10.817,7.452,4.796,2.938,1.698,1.053,0.05,6.567,14.817,,,,,,,,,,,,,,,,,,,
5.9,15,12.62,9.045,6.159,4.04,2.479,1.435,0.018,4.846,11.168,,,,,,,,,,,,,,,,,,,
6,15,14.234,10.46,7.359,5.001,3.154,1.764,0.008,3.472,8.239,,,,,,,,,,,,,,,,,,,
6.1,15,15,11.696,8.393,5.814,3.71,2.017,0.006,2.371,5.879,,,,,,,,,,,,,,,,,,,
6.2,15,15,12.762,9.268,6.484,4.146,2.184,0.017,1.507,3.992,,,,,,,,,,,,,,,,,,,
6.3,15,15,13.712,10.036,7.058,4.505,2.309,0.066,0.877,2.524,,,,,,,,,,,,,,,,,,,
6.4,15,15,14.639,10.79,7.629,4.877,2.476,0.198,0.486,1.444,,,,,,,,,,,,,,,,,,,
6.5,15,15,15,11.615,8.28,5.345,2.764,0.459,0.336,0.724,,,,,,,,,,,,,,,,,,,
6.6,15,15,15,12.561,9.059,5.952,3.214,0.87,0.411,0.322,,,,,,,,,,,,,,,,,,,
6.7,15,15,15,13.587,9.926,6.658,3.777,1.379,0.631,0.14,,,,,,,,,,,,,,,,,,,
6.8,15,15,15,14.619,10.806,7.385,4.37,1.903,0.899,0.065,,,,,,,,,,,,,,,,,,,
6.9,15,15,15,15,11.66,8.092,4.951,2.4,1.162,0.033,,,,,,,,,,,,,,,,,,,
7,15,15,15,15,12.479,8.77,5.505,2.86,1.404,0.018,,,,,,,,,,,,,,,,,,,
7.1,15,15,15,15,13.264,9.419,6.03,3.283,1.623,0.011,,,,,,,,,,,,,,,,,,,
7.2,15,15,15,15,14.018,10.041,6.53,3.673,1.821,0.007,,,,,,,,,,,,,,,,,,,
7.3,15,15,15,15,14.745,10.638,7.006,4.034,2.001,0.004,,,,,,,,,,,,,,,,,,,
7.4,15,15,15,15,15,11.215,7.461,4.372,2.166,0.003,,,,,,,,,,,,,,,,,,,
7.5,15,15,15,15,15,11.774,7.898,4.69,2.319,0.002,,,,,,,,,,,,,,,,,,,
7.6,15,15,15,15,15,12.315,8.318,4.991,2.463,0.002,,,,,,,,,,,,,,,,,,,
7.7,15,15,15,15,15,12.843,8.726,5.277,2.6,0.001,,,,,,,,,,,,,,,,,,,
7.8,15,15,15,15,15,13.358,9.121,5.552,2.731,0.001,,,,,,,,,,,,,,,,,,,
7.9,15,15,15,15,15,13.863,9.508,5.819,2.859,0.001,,,,,,,,,,,,,,,,,,,
8,15,15,15,15,15,14.36,9.887,6.078,2.984,0,,,,,,,,,,,,,,,,,,,
8.1,15,15,15,15,15,14.851,10.261,6.333,3.108,0,,,,,,,,,,,,,,,,,,,
8.2,15,15,15,15,15,15,10.631,6.585,3.233,0,,,,,,,,,,,,,,,,,,,
8.3,15,15,15,15,15,15,10.998,6.835,3.358,0,,,,,,,,,,,,,,,,,,,
8.4,15,15,15,15,15,15,11.364,7.084,3.485,0,,,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,15,15,11.729,7.333,3.615,0,,,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,15,15,12.095,7.583,3.748,0,,,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,15,15,12.461,7.836,3.884,0,,,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,15,15,12.83,8.09,4.024,0,,,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,15,15,13.201,8.348,4.169,0,,,,,,,,,,,,,,,,,,,
9,15,15,15,15,15,15,13.575,8.609,4.318,0,,,,,,,,,,,,,,,,,,,
log(T),Ne0+,Ne1+,Ne2+,Ne3+,Ne4+,Ne5+,Ne6+,Ne7+,Ne8+,Ne9+,Ne10+,,,,,,,,,,,,,,,,,,
4,0,7.324,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.1,0,4.891,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.2,0.001,2.918,12.845,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.3,0.021,1.33,8.442,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.4,0.303,0.299,5.146,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.5,1.09,0.037,3.079,10.508,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.6,1.8,0.016,1.686,6.961,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.7,2.261,0.081,0.784,4.411,11.839,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.8,2.705,0.296,0.31,2.689,8.104,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
4.9,3.249,0.652,0.126,1.538,5.395,11.656,15,15,15,15,15,,,,,,,,,,,,,,,,,,
5,3.888,1.106,0.126,0.76,3.391,8.01,14.847,15,15,15,15,,,,,,,,,,,,,,,,,,
5.1,4.668,1.695,0.319,0.31,1.955,5.264,10.426,15,15,15,15,,,,,,,,,,,,,,,,,,
5.2,5.607,2.435,0.705,0.156,0.996,3.246,7.056,12.781,15,15,15,,,,,,,,,,,,,,,,,,
5.3,6.69,3.314,1.263,0.254,0.429,1.815,4.523,8.788,13.291,15,15,,,,,,,,,,,,,,,,,,
5.4,7.927,4.345,1.999,0.595,0.218,0.891,2.695,5.766,8.907,15,15,,,,,,,,,,,,,,,,,,
5.5,9.306,5.52,2.899,1.151,0.311,0.394,1.447,3.538,5.573,15,15,,,,,,,,,,,,,,,,,,
5.6,10.819,6.83,3.953,1.902,0.668,0.257,0.683,1.965,3.098,15,15,,,,,,,,,,,,,,,,,,
5.7,12.486,8.3,5.182,2.858,1.285,0.456,0.353,0.963,1.356,12.638,15,,,,,,,,,,,,,,,,,,
5.8,14.471,10.094,6.748,4.176,2.305,1.118,0.564,0.614,0.396,9.086,15,,,,,,,,,,,,,,,,,,
5.9,15,12.195,8.634,5.831,3.694,2.195,1.252,0.829,0.103,6.71,14.965,,,,,,,,,,,,,,,,,,
6,15,14.232,10.465,7.448,5.068,3.292,2.01,1.184,0.034,4.963,11.325,,,,,,,,,,,,,,,,,,
6.1,15,15,12.114,8.895,6.292,4.267,2.686,1.511,0.015,3.589,8.423,,,,,,,,,,,,,,,,,,
6.2,15,15,13.57,10.159,7.349,5.096,3.248,1.77,0.009,2.493,6.089,,,,,,,,,,,,,,,,,,
6.3,15,15,14.844,11.25,8.246,5.782,3.694,1.949,0.015,1.63,4.22,,,,,,,,,,,,,,,,,,
6.4,15,15,15,12.213,9.025,6.365,4.057,2.08,0.052,0.987,2.754,,,,,,,,,,,,,,,,,,
6.5,15,15,15,13.13,9.768,6.923,4.415,2.234,0.155,0.565,1.654,,,,,,,,,,,,,,,,,,
6.6,15,15,15,14.083,10.555,7.535,4.842,2.484,0.365,0.361,0.888,,,,,,,,,,,,,,,,,,
6.7,15,15,15,15,11.442,8.255,5.39,2.876,0.709,0.369,0.426,,,,,,,,,,,,,,,,,,
6.8,15,15,15,15,12.418,9.071,6.045,3.39,1.161,0.534,0.195,,,,,,,,,,,,,,,,,,
6.9,15,15,15,15,13.419,9.92,6.741,3.953,1.65,0.77,0.093,,,,,,,,,,,,,,,,,,
7,15,15,15,15,14.401,10.756,7.43,4.515,2.125,1.017,0.048,,,,,,,,,,,,,,,,,,
7.1,15,15,15,15,15,11.563,8.095,5.056,2.569,1.25,0.026,,,,,,,,,,,,,,,,,,
7.2,15,15,15,15,15,12.339,8.734,5.572,2.98,1.463,0.016,,,,,,,,,,,,,,,,,,
7.3,15,15,15,15,15,13.086,9.348,6.063,3.36,1.657,0.01,,,,,,,,,,,,,,,,,,
7.4,15,15,15,15,15,13.807,9.939,6.532,3.714,1.835,0.006,,,,,,,,,,,,,,,,,,
7.5,15,15,15,15,15,14.506,10.512,6.982,4.046,1.998,0.004,,,,,,,,,,,,,,,,,,
7.6,15,15,15,15,15,15,11.067,7.415,4.36,2.15,0.003,,,,,,,,,,,,,,,,,,
7.7,15,15,15,15,15,15,11.608,7.835,4.659,2.293,0.002,,,,,,,,,,,,,,,,,,
7.8,15,15,15,15,15,15,12.137,8.244,4.947,2.429,0.002,,,,,,,,,,,,,,,,,,
7.9,15,15,15,15,15,15,12.657,8.643,5.226,2.56,0.001,,,,,,,,,,,,,,,,,,
8,15,15,15,15,15,15,13.168,9.036,5.498,2.687,0.001,,,,,,,,,,,,,,,,,,
8.1,15,15,15,15,15,15,13.674,9.424,5.767,2.812,0.001,,,,,,,,,,,,,,,,,,
8.2,15,15,15,15,15,15,14.177,9.809,6.034,2.936,0.001,,,,,,,,,,,,,,,,,,
8.3,15,15,15,15,15,15,14.677,10.194,6.3,3.061,0,,,,,,,,,,,,,,,,,,
8.4,15,15,15,15,15,15,15,10.579,6.569,3.186,0,,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,15,15,15,10.967,6.84,3.313,0,,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,15,15,15,11.358,7.115,3.443,0,,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,15,15,15,11.754,7.396,3.576,0,,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,15,15,15,12.155,7.684,3.713,0,,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,15,15,15,12.563,7.979,3.853,0,,,,,,,,,,,,,,,,,,
9,15,15,15,15,15,15,15,12.979,8.281,3.998,0,,,,,,,,,,,,,,,,,,
log(T),Na0+,Na1+,Na2+,Na3+,Na4+,Na5+,Na6+,Na7+,Na8+,Na9+,Na10+,Na11+,,,,,,,,,,,,,,,,,
4,3.201,0,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.1,3.873,0,14.221,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.2,4.435,0,11.417,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.3,4.908,0,8.613,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.4,5.31,0,6.012,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.5,5.652,0,3.918,12.315,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.6,5.931,0.002,2.243,8.194,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.7,6.126,0.046,1,5.061,13.104,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.8,6.326,0.278,0.326,2.966,8.923,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
4.9,6.599,0.691,0.111,1.67,5.999,13.108,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
5,6.932,1.165,0.108,0.819,3.862,9.126,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
5.1,7.417,1.752,0.298,0.324,2.329,6.13,11.815,15,15,15,15,15,,,,,,,,,,,,,,,,,
5.2,8.082,2.476,0.675,0.135,1.286,3.912,8.144,14.045,15,15,15,15,,,,,,,,,,,,,,,,,
5.3,8.883,3.298,1.185,0.167,0.606,2.277,5.328,9.781,15,15,15,15,,,,,,,,,,,,,,,,,
5.4,9.852,4.256,1.854,0.427,0.266,1.155,3.239,6.508,11.002,15,15,15,,,,,,,,,,,,,,,,,
5.5,11.015,5.382,2.713,0.927,0.26,0.504,1.789,4.083,7.36,10.682,15,15,,,,,,,,,,,,,,,,,
5.6,12.361,6.671,3.75,1.646,0.546,0.255,0.878,2.363,4.642,6.862,15,15,,,,,,,,,,,,,,,,,
5.7,13.864,8.1,4.941,2.55,1.079,0.337,0.409,1.216,2.675,3.995,15,15,,,,,,,,,,,,,,,,,
5.8,15,9.682,6.297,3.644,1.848,0.721,0.329,0.568,1.348,1.93,13.055,15,,,,,,,,,,,,,,,,,
5.9,15,11.538,7.936,5.043,2.96,1.498,0.71,0.465,0.682,0.655,9.254,15,,,,,,,,,,,,,,,,,
6,15,13.777,9.97,6.852,4.512,2.755,1.624,0.964,0.708,0.174,6.743,14.81,,,,,,,,,,,,,,,,,
6.1,15,15,12.047,8.72,6.144,4.123,2.689,1.67,1.012,0.056,4.988,11.231,,,,,,,,,,,,,,,,,
6.2,15,15,13.945,10.421,7.63,5.368,3.664,2.33,1.325,0.023,3.635,8.405,,,,,,,,,,,,,,,,,
6.3,15,15,15,11.923,8.932,6.448,4.5,2.887,1.58,0.013,2.561,6.137,,,,,,,,,,,,,,,,,
6.4,15,15,15,13.232,10.054,7.365,5.194,3.331,1.761,0.016,1.715,4.319,,,,,,,,,,,,,,,,,
6.5,15,15,15,14.394,11.039,8.158,5.781,3.694,1.895,0.045,1.076,2.884,,,,,,,,,,,,,,,,,
6.6,15,15,15,15,11.96,8.898,6.33,4.041,2.043,0.128,0.638,1.79,,,,,,,,,,,,,,,,,
6.7,15,15,15,15,12.897,9.664,6.915,4.441,2.271,0.303,0.399,1.006,,,,,,,,,,,,,,,,,
6.8,15,15,15,15,13.91,10.515,7.595,4.951,2.627,0.602,0.358,0.509,,,,,,,,,,,,,,,,,
6.9,15,15,15,15,15,11.455,8.373,5.57,3.106,1.013,0.479,0.244,,,,,,,,,,,,,,,,,
7,15,15,15,15,15,12.432,9.195,6.242,3.647,1.473,0.684,0.12,,,,,,,,,,,,,,,,,
7.1,15,15,15,15,15,13.399,10.014,6.919,4.197,1.931,0.911,0.063,,,,,,,,,,,,,,,,,
7.2,15,15,15,15,15,14.338,10.809,7.577,4.73,2.364,1.132,0.035,,,,,,,,,,,,,,,,,
7.3,15,15,15,15,15,15,11.576,8.211,5.24,2.767,1.338,0.021,,,,,,,,,,,,,,,,,
7.4,15,15,15,15,15,15,12.316,8.822,5.728,3.142,1.527,0.013,,,,,,,,,,,,,,,,,
7.5,15,15,15,15,15,15,13.032,9.41,6.193,3.491,1.7,0.009,,,,,,,,,,,,,,,,,
7.6,15,15,15,15,15,15,13.727,9.98,6.64,3.819,1.861,0.006,,,,,,,,,,,,,,,,,
7.7,15,15,15,15,15,15,14.404,10.533,7.071,4.13,2.01,0.004,,,,,,,,,,,,,,,,,
7.8,15,15,15,15,15,15,15,11.072,7.488,4.427,2.151,0.003,,,,,,,,,,,,,,,,,
7.9,15,15,15,15,15,15,15,11.599,7.894,4.712,2.286,0.002,,,,,,,,,,,,,,,,,
8,15,15,15,15,15,15,15,12.116,8.291,4.989,2.416,0.002,,,,,,,,,,,,,,,,,
8.1,15,15,15,15,15,15,15,12.625,8.682,5.259,2.543,0.001,,,,,,,,,,,,,,,,,
8.2,15,15,15,15,15,15,15,13.129,9.068,5.527,2.667,0.001,,,,,,,,,,,,,,,,,
8.3,15,15,15,15,15,15,15,13.63,9.451,5.792,2.792,0.001,,,,,,,,,,,,,,,,,
8.4,15,15,15,15,15,15,15,14.13,9.834,6.058,2.916,0.001,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,15,15,15,14.63,10.219,6.325,3.042,0,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,15,15,15,15,10.605,6.596,3.169,0,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,15,15,15,15,10.995,6.871,3.3,0,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,15,15,15,15,11.391,7.152,3.433,0,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,15,15,15,15,11.792,7.44,3.571,0,,,,,,,,,,,,,,,,,
9,15,15,15,15,15,15,15,15,12.2,7.735,3.712,0,,,,,,,,,,,,,,,,,
log(T),Mg0+,Mg1+,Mg2+,Mg3+,Mg4+,Mg5+,Mg6+,Mg7+,Mg8+,Mg9+,Mg10+,Mg11+,Mg12+,,,,,,,,,,,,,,,,
4,0.272,0.333,4.014,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,
4.1,0.616,0.125,2.118,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,
4.2,1.093,0.129,0.754,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,
4.3,1.991,0.614,0.127,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,
4.4,3.156,1.413,0.017,12.784,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,
